razon,id,fecha,primera_vez,primer_id,nombre_proyecto,url
TITULO_CROSS_URL,BOLR-20250502-0,20250502,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250505-0,20250505,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250506032,20250506,20250403,BOA20250403039,Modificación Infraestructura de Evacuación SET Contrebias 1 y 2,
TITULO_DUPLICADO_SIN_URL,BOA20250506033,20250506,20250403,BOA20250403039,PE Contrebias 1,
TITULO_DUPLICADO_SIN_URL,BOA20250506034,20250506,20250403,BOA20250403039,PE Contrebias 2,
TITULO_DUPLICADO_SIN_URL,BOA20250506035,20250506,20250403,BOA20250403039,Parque Eólico Contrebias III,
TITULO_DUPLICADO_SIN_URL,BOA20250506036,20250506,20250403,BOA20250403039,Parque Eólico PE Erik,
TITULO_CROSS_URL,BOLR-20250506-0,20250506,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250507-0,20250507,-,-,Parque Fotovoltaico Najerilla Solar POT,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250508-0,20250508,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250509034,20250509,20250422,BOA20250422036,Planta Solar Fotovoltaica Acampo Lucia,
TITULO_DUPLICADO_SIN_URL,BOA20250509036,20250509,20250422,BOA20250422036,Planta De Biometano Y Biofertilizantes Magallón,
TITULO_DUPLICADO_SIN_URL,BOA20250509037,20250509,20250422,BOA20250422036,Ducto De Conexión A Red Gasista De Planta De Biometano Y Biofertilizantes Peñalba-Candasnos,
