distribuidora,subestacion,tension_kv,provincia,n_eventos_hist,años_distintos,trimestre_patron,concentracion_pct,avg_delta_mw,max_delta_mw,ultimo_evento,ventana_inicio,ventana_fin,estado_ventana,confianza,fechas_historicas,proyectos_ids,proyectos_estados
UFD,SARDOMA,132.0,PONTEVEDRA,2,2,1,100.0,58.3,92.0,2025-01-27,2027-01-01,2027-03-31,en 221d,0.66,2022-02-27|2025-01-27,,
REE,CABRA,400.0,,2,2,1,100.0,55.5,73.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.66,2024-01-02|2026-02-20,,
UFD,SABON,132.0,LA CORUÑA,2,2,1,100.0,52.5,75.1,2026-02-01,2027-01-01,2027-03-31,en 221d,0.66,2022-02-27|2026-02-01,,
REE,GALAPAGAR,220.0,,2,2,1,100.0,50.0,50.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.66,2024-02-01|2026-02-20,,
REE,PAZOS DE BORBEN,220.0,,2,2,3,100.0,40.0,70.0,2025-08-01,2026-07-01,2026-09-30,en 37d,0.66,2024-08-01|2025-08-01,,
REE,CANILLEJAS,220.0,,2,2,1,100.0,37.5,40.0,2025-01-02,2027-01-01,2027-03-31,en 221d,0.66,2024-03-01|2025-01-02,,
UFD,MOS,132.0,PONTEVEDRA,2,2,1,100.0,36.3,60.0,2025-01-27,2027-01-01,2027-03-31,en 221d,0.66,2022-02-27|2025-01-27,,
UFD,SALVATERRA,20.0,PONTEVEDRA,2,2,1,100.0,31.8,40.5,2026-02-01,2027-01-01,2027-03-31,en 221d,0.66,2025-01-27|2026-02-01,,
UFD,VILLALONGA,66.0,PONTEVEDRA,2,2,1,100.0,30.5,39.0,2025-01-27,2027-01-01,2027-03-31,en 221d,0.66,2022-02-27|2025-01-27,,
UFD,SANTA TERESA,15.0,CIUDAD REAL,2,2,1,100.0,30.2,34.6,2023-01-30,2027-01-01,2027-03-31,en 221d,0.66,2022-03-27|2023-01-30,,
Endesa,ROTA,66.0,Cádiz,2,2,1,100.0,29.9,38.2,2026-03-01,2027-01-01,2027-03-31,en 221d,0.66,2022-01-01|2026-03-01,,
REE,SON REUS,220.0,,2,2,4,100.0,28.0,31.0,2025-12-01,2026-10-01,2026-12-31,en 129d,0.66,2024-12-02|2025-12-01,,
UFD,ARGAMASILLA DE ALBA,45.0,CIUDAD REAL,2,2,1,100.0,27.0,34.0,2026-02-01,2027-01-01,2027-03-31,en 221d,0.66,2025-02-25|2026-02-01,,
UFD,ARGAMASILLA DE CALATRAVA,15.0,CIUDAD REAL,2,2,1,100.0,26.0,36.3,2023-01-30,2027-01-01,2027-03-31,en 221d,0.66,2022-03-27|2023-01-30,,
iDE,MIRAFL/A    66.000,66.0,MADRID,2,2,4,100.0,23.9,37.6,2025-11-01,2026-10-01,2026-12-31,en 129d,0.66,2024-12-02|2025-11-01,,
